image,search_time
i000.jpeg,0.0080
i001.jpeg,0.0084
i002.jpeg,0.0075
i003.jpeg,0.0085
i004.jpeg,0.0079
i005.jpeg,0.0074
i006.jpeg,0.0070
i007.jpeg,0.0071
i008.jpeg,0.0138
i009.jpeg,0.0078
i010.jpeg,0.0085
i011.jpeg,0.0080
i012.jpeg,0.0080
i013.jpeg,0.0069
i014.jpeg,0.0081
i015.jpeg,0.0065
i016.jpeg,0.0072
i017.jpeg,0.0070
i018.jpeg,0.0072
i019.jpeg,0.0091
i020.jpeg,0.0080
i021.jpeg,0.0085
i022.jpeg,0.0070
i023.jpeg,0.0065
i024.jpeg,0.0070
i025.jpeg,0.0074
i026.jpeg,0.0085
i027.jpeg,0.0065
i028.jpeg,0.0075
i029.jpeg,0.0066
i030.jpeg,0.0083
i031.jpeg,0.0071
i032.jpeg,0.0085
i033.jpeg,0.0075
i034.jpeg,0.0077
i035.jpeg,0.0078
i036.jpeg,0.0111
i037.jpeg,0.0128
i038.jpeg,0.0095
i039.jpeg,0.0095
i040.jpeg,0.0080
i041.jpeg,0.0065
i042.jpeg,0.0075
i043.jpeg,0.0105
i044.jpeg,0.0105
i045.jpeg,0.0085
i046.jpeg,0.0067
i047.jpeg,0.0076
i048.jpeg,0.0075
i049.jpeg,0.0082
i050.jpeg,0.0070
i051.jpeg,0.0099
i052.jpeg,0.0080
i053.jpeg,0.0075
i054.jpeg,0.0075
i055.jpeg,0.0107
i056.jpeg,0.0077
i057.jpeg,0.0065
i058.jpeg,0.0085
i059.jpeg,0.0060
i060.jpeg,0.0071
i061.jpeg,0.0075
i062.jpeg,0.0071
i063.jpeg,0.0065
i064.jpeg,0.0070
i065.jpeg,0.0085
i066.jpeg,0.0083
i067.jpeg,0.0075
i068.jpeg,0.0075
i069.jpeg,0.0072
i070.jpeg,0.0075
i071.jpeg,0.0065
i072.jpeg,0.0065
i073.jpeg,0.0076
i074.jpeg,0.0070
i075.jpeg,0.0072
i076.jpeg,0.0056
i077.jpeg,0.0070
i078.jpeg,0.0065
i079.jpeg,0.0065
i080.jpeg,0.0052
i081.jpeg,0.0073
i082.jpeg,0.0084
i083.jpeg,0.0065
i084.jpeg,0.0065
i085.jpeg,0.0050
i086.jpeg,0.0069
i087.jpeg,0.0061
i088.jpeg,0.0075
i089.jpeg,0.0085
i090.jpeg,0.0060
i091.jpeg,0.0070
i092.jpeg,0.0140
i093.jpeg,0.0085
i094.jpeg,0.0062
i095.jpeg,0.0066
i096.jpeg,0.0065
i097.jpeg,0.0070
i098.jpeg,0.0074
i099.jpeg,0.0065
i100.jpeg,0.0075
i101.jpeg,0.0065
i102.jpeg,0.0070
i103.jpeg,0.0075
i104.jpeg,0.0065
i105.jpeg,0.0074
i106.jpeg,0.0076
i107.jpeg,0.0080
i108.jpeg,0.0075
i109.jpeg,0.0085
i110.jpeg,0.0075
i111.jpeg,0.0085
i112.jpeg,0.0080
i113.jpeg,0.0060
i114.jpeg,0.0066
i115.jpeg,0.0075
i116.jpeg,0.0064
i117.jpeg,0.0100
i118.jpeg,0.0080
i119.jpeg,0.0075
i120.jpeg,0.0061
i121.jpeg,0.0085
i122.jpeg,0.0066
i123.jpeg,0.0070
i124.jpeg,0.0065
i125.jpeg,0.0075
i126.jpeg,0.0075
i127.jpeg,0.0105
i128.jpeg,0.0108
i129.jpeg,0.0108
i130.jpeg,0.0070
i131.jpeg,0.0065
i132.jpeg,0.0085
i133.jpeg,0.0086
i134.jpeg,0.0066
i135.jpeg,0.0060
i136.jpeg,0.0063
i137.jpeg,0.0095
i138.jpeg,0.0105
i139.jpeg,0.0087
i140.jpeg,0.0081
i141.jpeg,0.0056
i142.jpeg,0.0085
i143.jpeg,0.0095
i144.jpeg,0.0066
i145.jpeg,0.0072
i146.jpeg,0.0075
i147.jpeg,0.0076
i148.jpeg,0.0065
i149.jpeg,0.0115
i150.jpeg,0.0105
i151.jpeg,0.0102
i152.jpeg,0.0085
i153.jpeg,0.0075
i154.jpeg,0.0060
i155.jpeg,0.0065
i156.jpeg,0.0115
i157.jpeg,0.0105
i158.jpeg,0.0091
i159.jpeg,0.0060
i160.jpeg,0.0071
i161.jpeg,0.0116
i162.jpeg,0.0105
i163.jpeg,0.0075
i164.jpeg,0.0063
i165.jpeg,0.0085
i166.jpeg,0.0105
i167.jpeg,0.0070
i168.jpeg,0.0065
i169.jpeg,0.0070
i170.jpeg,0.0075
i171.jpeg,0.0075
i172.jpeg,0.0076
i173.jpeg,0.0085
i174.jpeg,0.0060
i175.jpeg,0.0075
i176.jpeg,0.0075
i177.jpeg,0.0075
i178.jpeg,0.0066
i179.jpeg,0.0060
i180.jpeg,0.0061
i181.jpeg,0.0065
i182.jpeg,0.0096
i183.jpeg,0.0075
i184.jpeg,0.0063
i185.jpeg,0.0065
